Epoch,Batch,Prediction,Loss,True Value
0,,"[[-0.934    0.04733]
 [-0.7153  -0.1637 ]
 [-0.4746  -0.4102 ]
 [-0.598   -0.403  ]]",1.0232709646224976,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.362  -0.2983]
 [-0.9204  0.1346]
 [-0.8047 -0.4717]
 [-0.7944 -0.2761]]",1.0607185363769531,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.4556   -0.1956  ]
 [-0.561    -0.00733 ]
 [-0.593    -0.02191 ]
 [-0.8125   -0.002222]]",0.9559024572372437,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [1. 0.]]"
0,,"[[-0.782   -0.1183 ]
 [-0.3826  -0.02423]
 [-0.4329  -0.00731]
 [-0.2644   0.0702 ]]",0.7556812763214111,"[[0. 1.]
 [0. 1.]
 [1. 0.]
 [0. 1.]]"
0,,"[[-0.2642   0.073  ]
 [-0.5933   0.0801 ]
 [-0.3699   0.03906]
 [-0.1642   0.01794]]",0.6907006502151489,"[[0. 1.]
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.1814   0.1276 ]
 [-0.2693   0.1638 ]
 [-0.0376  -0.03134]
 [-0.4133   0.0132 ]]",0.4719328284263611,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.04312  0.1133 ]
 [-0.3057   0.1113 ]
 [-0.2134   0.2554 ]
 [-0.2045   0.02222]]",0.5044177770614624,"[[1. 0.]
 [0. 1.]
 [0. 1.]
 [1. 0.]]"
0,,"[[-0.161    0.1638 ]
 [-0.10046  0.1976 ]
 [-0.2069   0.0891 ]
 [-0.03043  0.12177]]",0.37797045707702637,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[ 0.253    0.1477 ]
 [-0.2695   0.1724 ]
 [-0.1744   0.0946 ]
 [-0.2766   0.11633]]",0.4069450795650482,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[ 0.0368   0.2874 ]
 [-0.05695  0.1774 ]
 [-0.426    0.12   ]
 [ 0.0777   0.2888 ]]",0.44753098487854004,"[[1. 0.]
 [0. 1.]
 [0. 1.]
 [1. 0.]]"
0,,"[[ 0.00823  0.2156 ]
 [ 0.03128  0.1406 ]
 [-0.2218   0.2487 ]
 [-0.1311   0.4475 ]]",0.28637975454330444,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[ 0.2715   0.4607 ]
 [-0.484   -0.01782]
 [-0.1797   0.4685 ]
 [ 0.1586   0.3208 ]]",0.5070928335189819,"[[0. 1.]
 [0. 1.]
 [1. 0.]
 [1. 0.]]"
0,,"[[ 0.166     0.1964  ]
 [-0.1667    0.3845  ]
 [-0.006035  0.4814  ]
 [-0.1262    0.2603  ]]",0.2466021627187729,"[[1. 0.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.04327  0.3496 ]
 [-0.2002   0.5083 ]
 [ 0.4985   0.2505 ]
 [-0.2722   0.2048 ]]",0.5532727241516113,"[[1. 0.]
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0,,"[[ 0.1173   0.1605 ]
 [ 0.0791   0.2487 ]
 [-0.08435  0.558  ]
 [-0.07605  0.564  ]]",0.21094413101673126,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.1951   0.4092 ]
 [ 0.2076   0.2406 ]
 [-0.02155  0.3145 ]
 [-0.0209   0.5713 ]]",0.2999383211135864,"[[0. 1.]
 [1. 0.]
 [1. 0.]
 [0. 1.]]"
0,,"[[-0.01414  0.3735 ]
 [-0.3462   0.251  ]
 [ 0.2424   0.3945 ]
 [ 0.1869   0.523  ]]",0.22017666697502136,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[-0.02061  0.3857 ]
 [-0.1498   0.2847 ]
 [ 0.1671   0.51   ]
 [ 0.2017   0.629  ]]",0.25547608733177185,"[[0. 1.]
 [0. 1.]
 [1. 0.]
 [0. 1.]]"
0,,"[[0.1384  0.4844 ]
 [0.0195  0.3528 ]
 [0.01524 0.742  ]
 [0.11066 0.3933 ]]",0.3843856155872345,"[[1. 0.]
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0,,"[[ 0.07104   0.561   ]
 [ 0.02669   0.4155  ]
 [ 0.1967    0.54    ]
 [-0.001719  0.4006  ]]",0.14369212090969086,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.10065 0.354  ]
 [0.04028 0.4678 ]
 [0.0691  0.6226 ]
 [0.1871  0.568  ]]",0.4005609452724457,"[[1. 0.]
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0,,"[[-0.01852  0.4043 ]
 [ 0.2343   0.4348 ]
 [ 0.0858   0.818  ]
 [ 0.1663   0.4111 ]]",0.20427533984184265,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [1. 0.]]"
0,,"[[0.04556 0.7485 ]
 [0.11865 0.4146 ]
 [0.2     0.5396 ]
 [0.2177  0.4536 ]]",0.12750552594661713,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.0695 0.552 ]
 [0.2087 0.761 ]
 [0.2023 0.502 ]
 [0.194  0.4807]]",0.23338279128074646,"[[1. 0.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.1733 0.6675]
 [0.0742 0.4246]
 [0.2026 0.6787]
 [0.2399 0.4749]]",0.17810368537902832,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [1. 0.]]"
0,,"[[0.10114 0.744  ]
 [0.3376  0.563  ]
 [0.0858  0.4404 ]
 [0.215   0.614  ]]",0.3567579686641693,"[[0. 1.]
 [1. 0.]
 [1. 0.]
 [1. 0.]]"
0,,"[[0.17   0.5386]
 [0.2332 0.51  ]
 [0.1693 0.539 ]
 [0.2827 0.715 ]]",0.11736135929822922,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.3538 0.51  ]
 [0.2703 0.53  ]
 [0.2212 0.714 ]
 [0.1658 0.718 ]]",0.11219372600317001,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.1393 0.618 ]
 [0.2117 0.556 ]
 [0.3357 0.5093]
 [0.1941 0.926 ]]",0.2201807051897049,"[[1. 0.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.1411 0.4749]
 [0.2952 0.656 ]
 [0.215  0.7295]
 [0.175  0.721 ]]",0.17456954717636108,"[[1. 0.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.1512 0.3892]
 [0.3765 0.578 ]
 [0.0834 1.068 ]
 [0.2139 0.637 ]]",0.22297964990139008,"[[1. 0.]
 [1. 0.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.3843  0.4993 ]
 [0.1636  0.8706 ]
 [0.10815 0.7573 ]
 [0.315   0.7485 ]]",0.398267924785614,"[[1. 0.]
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0,,"[[0.1772 0.845 ]
 [0.1632 0.959 ]
 [0.2673 0.67  ]
 [0.387  0.3328]]",0.2927764654159546,"[[0. 1.]
 [1. 0.]
 [0. 1.]
 [1. 0.]]"
0,,"[[0.154  0.9536]
 [0.2366 0.7656]
 [0.4934 0.3674]
 [0.2334 0.737 ]]",0.11301460862159729,"[[0. 1.]
 [0. 1.]
 [0. 1.]
 [0. 1.]]"
0,,"[[0.4456 0.582 ]
 [0.2218 0.841 ]
 [0.1542 0.8447]
 [0.4238 0.7227]]",0.3007793724536896,"[[1. 0.]
 [0. 1.]
 [1. 0.]
 [0. 1.]]"
